S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F)
1,Sunday-November 19-1995,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,N/A,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,,Foreigner,None,14,15,,60,2,,,15.835,60.503
2,Monday-November 6-2000,10 SHa`baan 1421 A.H,Working Day,,N/A,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,,Media,None,,3,,3,1,,,23.77,74.786
3,Wednesday-May 8-2002,25 safar 1423 A.H,Working Day,,7:45 AM,Karachi ,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,Hotel,Medium,Closed,,Foreigner,Christian,13,15,20,40,1,2.5 Kg,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.628
4,Friday-June 14-2002,3 Raby` al-THaany 1423 A.H,Working Day,,11:10:00 AM,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area ,Foreign,High,Closed,,Foreigner,Christian,,12,,51,1,NA,NA,31.43,88.574
5,Friday-July 4-2003,4 Jumaada al-awal 1424 A.H,Working Day,,N/A,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44,47,,65,1,NA,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616
6,Thursday-December 25-2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,1:40:00 PM/1:42:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi ,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,None,16,18,,50,2,30kg in each car,"1.District headquarters 
Hospital ",9.445,49.001
7,Saturday-February 28-2004,8 MuHarram 1425 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,,1,3,4,1,NA,NA,15.275,59.495
8,Friday-May 7-2004,18 Raby` al-awal 1425 A.H,Working Day,,1:20:00/1:17:00 PM,Karachi ,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14,15,96,200,1,2kg,Civil hospital ,33.86,92.948
9,Monday-May 31-2004,,Working Day,,evening,Karachi ,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,,Religious,Shiite,16,18,,35,1,NA,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889
10,Thursday-June 3-2004,15 Raby` al-THaany 1425 A.H,Working Day,,N/A,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,,Military,None,,2,,2,1,,,27.18,80.924
11,Wednesday-July 28-2004,11 Jumaada al-THaany 1425 A.H,Working Day,,8:50:PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,None,2,3,,3,2,NA,CMH Kohat,32.43,90.374
12,Friday-July 30-2004,13 Jumaada al-THaany 1425 A.H,Working Day,,7:20 PM,Attock ,33.7645,72.3667,Punjab, Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally ,Government Official,None,,7,44,70,1,NA,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997
13,Friday-October 1-2004,17 SHa`baan 1425 A.H,Working Day,,1:27 PM/1:25 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,shiite,25,31,50,75,1,NA,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518
14,Sunday-October 10-2004,26 SHa`baan 1425 A.H.,Holiday,Weekend,5:55:00/6:40:00 PM,Lahore ,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4,5,6,10,1,NA,Mayo Hospital ,24.39,75.902
15,Saturday-March 19-2005,9 safar 1426 A.H,Working Day,,11.45PM /10.30 pm,Quetta,30.2095,67.0182,Baluchistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25,50,8,100,1,NA,NA,16.5,61.7
16,Thursday-April 28-2005,19 Raby` al-awal 1426 A.H,Working Day,,N/A,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat ,Park/Ground,Low,Open,NA,civilian,None,,2,,,1,NA,NA,19.935,67.883
17,Friday-May 27-2005,19 Raby` al-THaany 1426 A.H,Working Day,,11:00:00 AM,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20,25,82,100,1,NA,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888
18,Monday-May 30-2005,22 Raby` al-THaany 1426 A.H,Working Day,,evening,Karachi ,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,Medium,Closed,evening prayer,Religious,shiite,5,6,19,30,1,NA,1. Patel Hospital 2. JMPC,31.945,89.501
19,Thursday-February 9-2006,10 MuHarram 1427 A.H,Holiday,Ashura,9:35:00 AM,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Park/Ground,Low,Open,Ashura Day,Religious,Shiite,37,40,90,,1,NA,Hangu Hospital ,15.495,59.891
